last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Mateo, Jorge,622761,135,SD,CF,26,26,4.08,30.9
Turner, Trea,607208,120,WSH,SS,28,101,4.11,30.8
Locastro, Tim,641796,109,ARI,CF,29,34,4.07,30.7
White, Eli,642201,140,TEX,LF,27,24,4.20,30.3
Quinn, Roman,596451,143,PHI,CF,28,19,,30.0
Berti, Jon,542932,146,MIA,3B,31,81,4.22,29.9
Hampson, Garrett,641658,115,COL,CF,27,76,4.20,29.8
Buxton, Byron,621439,142,MIN,CF,28,38,3.96,29.8
O'Neill, Tyler,641933,138,STL,LF,26,43,4.25,29.7
Taveras, Leody,665750,140,TEX,CF,23,13,,29.7
Hamilton, Billy,571740,145,CWS,CF,31,22,,29.7
Sosa, Edmundo,624641,138,STL,SS,25,54,4.30,29.6
Haggerty, Sam,664059,136,SEA,LF,27,34,4.27,29.5
Bader, Harrison,664056,138,STL,CF,27,23,4.25,29.4
Acuña Jr., Ronald,660670,144,ATL,RF,24,56,4.28,29.4
Rosario, Amed,642708,114,CLE,SS,26,92,4.23,29.3
Olivares, Edward,658668,118,KC,RF,25,13,,29.3
Trout, Mike,545361,108,LAA,CF,30,38,4.30,29.3
Stevenson, Andrew,664057,120,WSH,CF,27,31,4.22,29.3
Wade, Tyler,642180,147,NYY,SS,27,23,4.13,29.3
Lux, Gavin,666158,119,LAD,SS,24,76,4.18,29.1
Senzel, Nick,669222,113,CIN,CF,26,44,4.37,29.1
Heath, Nick,670084,109,ARI,CF,28,12,,29.1
Davis, Jonathan,641505,141,TOR,CF,29,20,4.33,29.0
Baddoo, Akil,668731,116,DET,CF,23,52,4.11,29.0
Kiermaier, Kevin,595281,139,TB,CF,31,63,4.15,29.0
Ohtani, Shohei,660271,108,LAA,DH,27,65,4.08,29.0
Miller, Owen,680911,114,CLE,DH,25,15,4.35,29.0
Chisholm Jr., Jazz,665862,146,MIA,2B,23,66,4.19,29.0
Sierra, Magneuris,642423,146,MIA,CF,25,42,4.03,29.0
Zimmer, Bradley,605548,114,CLE,CF,29,10,,28.9
Straw, Myles,664702,117,HOU,CF,27,82,4.16,28.9
McCormick, Chas,676801,117,HOU,LF,26,22,4.33,28.9
Hoerner, Nico,663538,112,CHC,2B,24,41,4.24,28.9
Tatis Jr., Fernando,665487,135,SD,SS,22,62,4.32,28.9
Pache, Cristian,665506,144,ATL,CF,23,24,4.36,28.9
Solak, Nick,669256,140,TEX,2B,26,95,4.27,28.8
Brinson, Lewis,621446,146,MIA,CF,27,20,4.26,28.8
Taylor, Tyrone,621438,158,MIL,LF,27,28,4.43,28.8
Merrifield, Whit,593160,118,KC,2B,32,102,4.32,28.8
Devers, José,672701,146,MIA,2B,22,18,,28.8
Hernandez, Cesar,514917,114,CLE,2B,31,88,4.26,28.8
Nimmo, Brandon,607043,121,NYM,CF,28,30,,28.8
McKenna, Ryan,663630,110,BAL,RF,24,13,,28.8
Margot, Manuel,622534,139,TB,RF,27,98,4.25,28.8
Robert, Luis,673357,145,CWS,CF,24,31,,28.8
Walls, Taylor,670764,139,TB,SS,25,20,,28.7
García, Avisaíl,541645,158,MIL,RF,30,79,4.45,28.7
Grisham, Trent,663757,135,SD,CF,25,49,4.35,28.7
Thomas, Lane,657041,138,STL,RF,26,13,4.33,28.7
India, Jonathan,663697,113,CIN,2B,25,73,4.37,28.7
Story, Trevor,596115,115,COL,SS,29,73,4.30,28.6
Marcano, Tucupita,672779,135,SD,2B,22,23,4.25,28.6
Hernández, Teoscar,606192,141,TOR,RF,29,56,4.36,28.6
Edman, Tommy,669242,138,STL,2B,26,128,4.25,28.6
Raley, Luke,670042,119,LAD,RF,27,15,,28.6
Taylor, Chris,621035,119,LAD,CF,31,77,4.36,28.6
Yelich, Christian,592885,158,MIL,LF,30,46,4.37,28.6
Ramirez, Harold,623912,114,CLE,CF,27,63,4.37,28.6
Mullins, Cedric,656775,110,BAL,CF,27,98,4.17,28.6
Gosselin, Phil,594838,108,LAA,3B,33,31,,28.5
Realmuto, J.T.,592663,143,PHI,C,30,66,4.29,28.5
Marisnick, Jake,545350,112,CHC,CF,30,24,,28.5
McCutchen, Andrew,457705,143,PHI,LF,35,76,4.38,28.5
Arozarena, Randy,668227,139,TB,LF,26,88,4.29,28.5
Dyson, Jarrod,502481,118,KC,CF,37,25,4.17,28.5
Cain, Lorenzo,456715,158,MIL,CF,35,37,4.39,28.4
Celestino, Gilberto,665482,142,MIN,CF,22,16,4.43,28.4
Castro, Willi,650489,116,DET,2B,24,71,4.24,28.4
Kim, Ha-Seong,673490,135,SD,SS,26,53,4.41,28.4
Varsho, Daulton,662139,109,ARI,CF,25,10,,28.4
